reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
eic90ad-1204-4a77-8ded-13e593766f33,Maulina Nia Rahma,https://play-lh.googleusercontent.com/a-/ALV-UjWUJaJu1l0oISYmAMwze9LSlv9bFShVFrVPiK0HRgeOJzEO,"Aplikasinya ringan, fitur reksa dananya lengkap, cocok untuk pemula yang mau investasi, tampilannya bagus",2,17,4.0.1,19/11/2023 2:12:44,"Terima kasih telah memberikan feedback terhadap aplikasi Bareksa. Di Bareksa Kamu sudah dapat melakukan investasi reksadana, obligasi negara, emas, umroh, saham dan Robo di dalam satu aplikasi dengan berbagai metode pembayaran yang memudahkan Kamu. Informasi lebih lanjut dapat menghubungi ke email di cs@bareksa.com
",2023-11-23 1:59:26,4.0.1
aeb81eb7-5004-4a27-8ded-07e593866e33,Rachman Fadhilla,https://play-lh.googleusercontent.com/a-/ALV-UjWUJaJu1l0oISYmAMwze9LSlv9bFShVFrVPiK0HRgeOJzEO,"Secara umum, jika sistem aplikasi yang digunakan adalah aplikasi standar yang mirip dengan antarmuka standar. Tapi pelayanan CSnya ya ampun jelek banget. Jika saya bisa memberi bintang minus, saya akan memberi minus lima bintang. CS : LAMBAT, TIDAK SAMBUNG, TIDAK ADA SOLUSI, NYAMAN. Kalau ditanya jawabannya adalah template, seperti robot. Bahkan saat ini robot yang menggunakan AI lebih pintar dalam menjawab dibandingkan CS BAREKSA. Untuk membuka blokir aplikasinya saja harus menunggu sebulan lebih, kalau ke bank tidak akan terlihat seperti ini sampai selesai dalam sehari.",1,24,4.0.1,2023-11-21 6:21:44,"Mohon maaf atas ketidaknyamanannya, untuk kendala yang kamu alami mohon dapat diinformasikan kepada kami melalui email di cs@bareksa.com
",2023-11-23 2:59:26,4.0.1
9a98caaa-0125-0862-1029-ae19bd93cb76,Maudi sintia,https://play-lh.googleusercontent.com/a-/ALV-UjXQ8hV7Dhwgh75cIDe9vmE2nttxojoysFxlw7LrrAWdcXM,"Bareksa adalah aplikasi investasi yang bagus, ringan dan jelas, informasinya lengkap dan mudah dipahami",4,5,4.0.1,2023-11-14 6:06:12,"Terima kasih telah memberikan feedback terhadap aplikasi Bareksa. Di Bareksa Kamu sudah dapat melakukan investasi reksadana, obligasi negara, emas, umroh, saham dan Robo di dalam satu aplikasi dengan berbagai metode pembayaran yang memudahkan Kamu. Informasi lebih lanjut dapat menghubungi ke email di cs@bareksa.com .",2023-11-16 3:50:04,4.0.1
ec3d76d6-3acf-4463-885a-b0b69e135307,Rachmawati Ariningsih,https://play-lh.googleusercontent.com/a/ACg8ocI4_806HqpcZBe7pCOng2j9fjCRViMzX_cX6Q3IApau=mo,"Mw menambahkan, rekening tersebut terus ditolak dengan alasan KTP tidak jelas, padahal KTP jelas dan terbaca, sehingga uang yang masuk ke Bareksa tidak bisa diambil. Kalau seperti ini, hanya berusaha menghasilkan uang sedikit dan sulit, apalagi jika sudah memasukkan uang banyak. Anda bisa kehilangan uang",1,12,4.1.2000,2023-11-28 7:06:17,"Mohon maaf atas ketidaknyamanannya, untuk kendala yang kamu alami mohon dapat diinformasikan kepada kami melalui email di cs@bareksa.com
",2023-12-01 4:19:58,4.1.2000
77ec6c12-1890-5f19-b760-d9a0af0c6b51,Muhammad Nur,https://play-lh.googleusercontent.com/a-/ALV-UjViUCHG7h4BhuYANhX451jtTYC9gfeUwsgdY7sAo58NdMY,"Performa dan tampilan aplikasi sangat bagus karena ringan, fiturnya juga bagus, terutama fitur robo Advisor yang cocok untuk pemula investasi seperti saya.",5,0,4.0.1,2023-11-16 8:53:10,"Terima kasih telah memberikan feedback terhadap aplikasi bareksa. Kami akan terus melakukan perbaikan serta pengembangan agar dapat memudahkan nasabah dalam melakukan transaksi melalui Bareksa. Happy Investing with Bareksa
",2023-11-18 3:18:06,4.0.1
23df1d16-45d9-4d8d-82c1-6d34ac26fe5d,Sekar Arum,https://play-lh.googleusercontent.com/a-/ALV-UjVUDYkysgwyHNHdpL8LzDvSo3s-ZFLlTBSHxR0iwyUGNwI,"Kesalahan validasi muatan. Sampai ulasan ini diupload, sudah lebih dari 10 hari sejak error ini muncul dan saya laporkan ke CS namun saya masih belum mendapatkan solusinya. Error ini saya alami ketika hendak mendaftar SBN, dan pendaftarannya akan berakhir namun belum ada solusinya. Selain CS, saya sudah coba update aplikasinya tapi tetap sama. Jika registrasi berakhir tapi masih belum ada update, itu benar-benar bukan solusi!!! Jika saya bisa memberikan 0 bintang, saya akan memberikannya seperti itu!",1,24,3.8.2000,2023-10-27 21:43:01,"Mohon maaf atas ketidaknyamanannya, untuk kendala yang kamu alami mohon dapat diinformasikan kepada kami melalui email di cs@bareksa.com
",2023-10-28 3:44:56,3.8.2000
af4167f7-4idc-4463-885a-b0b69e135307,M. Abdillah Nur Adi,https://play-lh.googleusercontent.com/a/ACg8ocI4_806HqpcZBe7pCOng2j9fjCRViMzX_cX6Q3IApau=mo,"Stok fitur aplikasi tidak lengkap, tampilan biasa saja, namun aplikasi cukup ringan",3,12,4.1.2000,2023-11-25 2:06:17,"Mohon maaf atas ketidaknyamanannya, untuk kendala yang kamu alami mohon dapat diinformasikan kepada kami melalui email di cs@bareksa.com
",2023-12-01 4:19:58,4.1.2000
5248fbdb-07f5-41c0-a706-8edbf4d99ccc,Nico Anjasana,https://play-lh.googleusercontent.com/a-/ALV-UjX7nSsbHR_gQ1hWZcm7jn6z6yskwrq_FH_r7ELOlU3hKfc,"Tampilannya kurang jelas, apalagi di dark mode, metode pembayarannya hanya OVO dan Danamon, jadi ribet",1,7,3.8.2000,2023-10-21 16:08:28,"Mohon maaf atas ketidaknyamanannya, untuk kendala yang kamu alami mohon dapat diinformasikan kepada kami melalui email di cs@bareksa.com",2023-09-08 4:26:46,3.8.2000
505becd7-3194-4f78-8146-c60ef3691e66,yoga candra,https://play-lh.googleusercontent.com/a-/ALV-UjUiv5khuo38FgyYY114-thdSjL1eCMlytnmncv5ilp1hA,"Saya telah menggunakan aplikasi ini sejak tahun 2016. Dan saya merasa seiring berjalannya waktu aplikasi ini semakin membaik, walaupun terkadang ada sedikit kendala namun bagi saya masih normal. Pengalaman saya, ketika ada masalah, CS sudah memberikan solusi yang cukup baik. Semoga kedepannya kita bisa berjalan lebih baik lagi. Dan saya berharap aplikasi Bareksa tetap dapat menjadi salah satu aplikasi terbaik untuk investasi kedepannya",5,1,4.1.2000,2023-12-06 13:25:44,"Terima kasih telah memberikan feedback terhadap aplikasi Bareksa. Di Bareksa Kamu sudah dapat melakukan investasi reksadana, obligasi negara, emas, umroh, saham dan Robo di dalam satu aplikasi dengan berbagai metode pembayaran yang memudahkan Kamu. Informasi lebih lanjut dapat menghubungi ke email di cs@bareksa.com
",2023-12-07 2:20:10,4.1.2000
609720e5-b35a-4693-b8f6-3ab98fbfcae3,Even Haezer Modison,https://play-lh.googleusercontent.com/a-/ALV-UjX55G9QvfLfSQrewxOsX5fxVERva-FAOv1_pWKvueBUwIM,"Setelah menghubungi Cs. Lewat telpon akhirnya dapat solusi, akhirnya setelah update aplikasi Bareksanya bisa dibuka, terima kasih atas pelayanannya, padahal saya menunggu seminggu lebih untuk mengatasi masalah error tersebut.",5,4,4.1.2000,2023-11-21 5:50:32,"Mohon maaf atas ketidaknyamanannya, untuk kendala yang kamu alami mohon dapat diinformasikan kepada kami melalui email di cs@bareksa.com
",2023-11-17 4:34:26,4.1.2000
